subject_table,subject_field,predicate,related_table,related_field
agent-agent-role,agentID,agentID → agentID,agent,agentID
agent-agent-role,relatedAgentID,relatedAgentID → agentID,agent,agentID
agent-identifier,agentID,agentID → agentID,agent,agentID
agent-media,mediaID,mediaID → mediaID,media,mediaID
agent-media,agentID,agentID → agentID,agent,agentID
chronometric-age,eventID,eventID → eventID,event,eventID
chronometric-age,chronometricAgeProtocolID,chronometricAgeProtocolID → protocolID,protocol,protocolID
chronometric-age,chronometricAgeConversionProtocolID,chronometricAgeConversionProtocolID → protocolID,protocol,protocolID
chronometric-age,materialDatedID,materialDatedID → materialEntityID,material,materialEntityID
chronometric-age,chronometricAgeDeterminedByID,chronometricAgeDeterminedByID → agentID,agent,agentID
chronometric-age-agent-role,agentID,agentID → agentID,agent,agentID
chronometric-age-agent-role,chronometricAgeID,chronometricAgeID → chronometricAgeID,chronometric-age,chronometricAgeID
chronometric-age-assertion,chronometricAgeID,chronometricAgeID → chronometricAgeID,chronometric-age,chronometricAgeID
chronometric-age-assertion,assertionByID,assertionByID → agentID,agent,agentID
chronometric-age-assertion,assertionProtocolID,assertionProtocolID → protocolID,protocol,protocolID
chronometric-age-media,mediaID,mediaID → mediaID,media,mediaID
chronometric-age-media,chronometricAgeID,chronometricAgeID → chronometricAgeID,chronometric-age,chronometricAgeID
chronometric-age-protocol,protocolID,protocolID → protocolID,protocol,protocolID
chronometric-age-protocol,chronometricAgeID,chronometricAgeID → chronometricAgeID,chronometric-age,chronometricAgeID
chronometric-age-reference,referenceID,referenceID → referenceID,reference,referenceID
chronometric-age-reference,chronometricAgeID,chronometricAgeID → chronometricAgeID,chronometric-age,chronometricAgeID
event,parentEventID,parentEventID → eventID,event,eventID
event,eventConductedByID,eventConductedByID → agentID,agent,agentID
event,georeferencedByID,georeferencedByID → agentID,agent,agentID
event,georeferenceProtocolID,georeferenceProtocolID → protocolID,protocol,protocolID
event,fundingAttributionID,fundingAttributionID → agentID,agent,agentID
event-agent-role,agentID,agentID → agentID,agent,agentID
event-agent-role,eventID,eventID → eventID,event,eventID
event-assertion,eventID,eventID → eventID,event,eventID
event-assertion,assertionByID,assertionByID → agentID,agent,agentID
event-assertion,assertionProtocolID,assertionProtocolID → protocolID,protocol,protocolID
event-identifier,eventID,eventID → eventID,event,eventID
event-media,mediaID,mediaID → mediaID,media,mediaID
event-media,eventID,eventID → eventID,event,eventID
event-protocol,protocolID,protocolID → protocolID,protocol,protocolID
event-protocol,eventID,eventID → eventID,event,eventID
event-reference,referenceID,referenceID → referenceID,reference,referenceID
event-reference,eventID,eventID → eventID,event,eventID
geological-context,eventID,eventID → eventID,event,eventID
geological-context-media,mediaID,mediaID → mediaID,media,mediaID
geological-context-media,geologicalContextID,geologicalContextID → geologicalContextID,geological-context,geologicalContextID
identification,basedOnOccurrenceID,basedOnOccurrenceID → occurrenceID,occurrence,occurrenceID
identification,basedOnMaterialEntityID,basedOnMaterialEntityID → materialEntityID,material,materialEntityID
identification,basedOnNucleotideSequenceID,basedOnNucleotideSequenceID → nucleotideSequenceID,nucleotide-sequence,nucleotideSequenceID
identification,basedOnNucleotideAnalysisID,basedOnNucleotideAnalysisID → nucleotideAnalysisID,nucleotide-analysis,nucleotideAnalysisID
identification,basedOnMediaID,basedOnMediaID → mediaID,media,mediaID
identification,identifiedByID,identifiedByID → agentID,agent,agentID
identification-agent-role,agentID,agentID → agentID,agent,agentID
identification-agent-role,identificationID,identificationID → identificationID,identification,identificationID
identification-taxon,identificationID,identificationID → identificationID,identification,identificationID
material,eventID,eventID → eventID,event,eventID
material,institutionID,institutionID → agentID,agent,agentID
material,ownerInstitutionID,ownerInstitutionID → agentID,agent,agentID
material,collectedByID,collectedByID → agentID,agent,agentID
material,evidenceForOccurrenceID,evidenceForOccurrenceID → occurrenceID,occurrence,occurrenceID
material,derivedFromMaterialEntityID,derivedFromMaterialEntityID → materialEntityID,material,materialEntityID
material,derivationEventID,derivationEventID → eventID,event,eventID
material,isPartOfMaterialEntityID,isPartOfMaterialEntityID → materialEntityID,material,materialEntityID
material,identifiedByID,identifiedByID → agentID,agent,agentID
material-agent-role,agentID,agentID → agentID,agent,agentID
material-agent-role,materialEntityID,materialEntityID → materialEntityID,material,materialEntityID
material-assertion,materialEntityID,materialEntityID → materialEntityID,material,materialEntityID
material-assertion,assertionByID,assertionByID → agentID,agent,agentID
material-assertion,assertionProtocolID,assertionProtocolID → protocolID,protocol,protocolID
material-identifier,materialEntityID,materialEntityID → materialEntityID,material,materialEntityID
material-media,mediaID,mediaID → mediaID,media,mediaID
material-media,materialEntityID,materialEntityID → materialEntityID,material,materialEntityID
material-protocol,protocolID,protocolID → protocolID,protocol,protocolID
material-protocol,materialEntityID,materialEntityID → materialEntityID,material,materialEntityID
material-reference,referenceID,referenceID → referenceID,reference,referenceID
material-reference,materialEntityID,materialEntityID → materialEntityID,material,materialEntityID
media,commenter,commenter → agentID,agent,agentID
