table,name,key,title,description,comments,example,type,format,unique,required,minimum,maximum,namespace,dcterms:isVersionOf,dcterms:references,rdfs:comment,status,new,ignore
agent,agentID,pk,Agent ID,An identifier for a dcterms:Agent.,Recommended best practice is to use a globally unique identifier.,,string,default,true,true,,,dwc,,,,recommended,true,false
agent,agentType,,Agent Type,A category that best matches the nature of a dcterms:Agent.,Recommended best practice is to use a controlled vocabulary.,`person`; `group`; `organization`; `camera`,string,default,,,,,dwc,,,,recommended,true,false
agent,preferredAgentName,,Preferred Agent Name,A name of a dcterms:Agent preferred in searches and results.,,,string,default,,,,,dcterms,http://purl.org/dc/terms/title,,A name given to the resource.,recommended,false,true
agent,agentRemarks,,Agent Remarks,Comments or notes about a dcterms:Agent.,,,string,default,,,,,dwc,,,,recommended,true,false
agent-agent-role,agentID,fk,Agent ID,An identifier for a dcterms:Agent.,Recommended best practice is to use a globally unique identifier.,,string,default,false,true,,,dwc,,,,recommended,true,true
agent-agent-role,relatedAgentID,fk,Related Agent ID,An identifier for a related dcterms:Agent.,Recommended best practice is to use a globally unique identifier.,,string,default,false,true,,,dwc,,,,recommended,true,true
agent-agent-role,agentRole,,Agent Role,A category that best matches the nature of a role of a dcterms:Agent.,Recommended best practice is to use a controlled vocabulary for the roles appropriate to the class of resource a dcterms:AgentRole is related to.,,string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/relationshipOfResource,http://rs.tdwg.org/dwc/terms/version/relationshipOfResource-2023-06-28,The relationship of the subject (identified by dwc:resourceID) to the object (identified by dwc:relatedResourceID).,recommended,false,true
agent-agent-role,agentRoleIRI,,Agent Role IRI,An IRI of the controlled vocabulary value for a role of a dcterms:Agent.,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,,string,default,,,,,dwciri,,,,recommended,true,true
agent-agent-role,agentRoleSource,,Agent Role Source,A reference to a controlled vocabulary in which the definition of a value in dwc:agentRole is given.,,,string,default,,,,,dc,http://purl.org/dc/elements/1.1/source,,A related resource from which the described resource is derived.,recommended,false,true
agent-agent-role,agentRoleOrder,,Agent Role Order,"A numerical position of an AgentRole in a set of AgentRoles that have the same combination of dwc:agentRole, dwc:agentRoleIRI, dwc:agentRoleSource and related target.","One could use dwc:agentRoleOrder to create an ordered list of collectors (dwc:agentRole = 'collector') for a dwc:MaterialEntity, for example. The first would have agentRoleOrder=1, the second would have agentRoleOrder=2.",,integer,default,,,1,,dwc,,,,recommended,true,false
agent-agent-role,agentRoleDate,,Agent Role Date,An interval during which a dcterms:AgentRole was in effect.,Recommended best practice is to use a date that conforms to ISO 8601-1:2019.,,string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/relationshipEstablishedDate,http://rs.tdwg.org/dwc/terms/version/relationshipEstablishedDate-2025-06-12,The date-time on which the relationship between the two resources was established.,recommended,false,false
agent-identifier,agentID,fk,Agent ID,An identifier for a dcterms:Agent.,Recommended best practice is to use a globally unique identifier.,,string,default,false,true,,,dwc,,,,recommended,true,true
agent-identifier,identifier,,Identifier,An unambiguous reference to a resource within a given context.,Recommended best practice is to identify a resource by means of a string conforming to a formal identification system.,`https://orcid.org/0000-0002-1825-0097`; `https://ror.org/00mh9zx15`,string,default,false,true,,,skos,http://www.w3.org/2004/02/skos/core#notation,https://www.w3.org/TR/2009/REC-skos-reference-20090818/#notation,"A notation is a string of characters such as ""T58.5"" or ""303.4833"" used to uniquely identify a concept within the scope of a given concept scheme.",recommended,false,true
agent-identifier,identifierType,,Identifier Type,A category or system that best matches the nature of an identifier (skos:notation).,Recommended best practice is to use a controlled vocabulary.,,string,default,,,,,dc,http://purl.org/dc/elements/1.1/type,,The nature or genre of the resource.,recommended,false,true
agent-identifier,identifierTypeIRI,,Identifier Type IRI,An IRI of a controlled vocabulary value for a type of identifier.,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,,string,default,,,,,dcterms,http://purl.org/dc/terms/type,,The nature or genre of the resource.,recommended,false,true
agent-identifier,identifierTypeSource,,Identifier Type Source,A reference to a controlled vocabulary in which the definition of a value in dwc:identifierType is given.,,,string,default,,,,,dc,http://purl.org/dc/elements/1.1/source,,A related resource from which the described resource is derived.,recommended,false,true
agent-identifier,identifierLanguage,,Identifier Language,A language in which an identifier is presented.,Recommended best practice is to use an ISO639-2 three-letter language code.,,string,default,,,,,dcterms,http://purl.org/dc/terms/language,,A language of the resource.,recommended,false,true
agent-media,mediaID,fk,Media ID,An identifier for a dwc:Media resource.,Recommended best practice is to use a globally unique identifier.,,string,default,false,true,,,dwc,,,,recommended,true,true
agent-media,agentID,fk,Agent ID,An identifier for a dcterms:Agent.,Recommended best practice is to use a globally unique identifier.,,string,default,false,true,,,dwc,,,,recommended,true,true
agent-media,subjectCategory,,Subject Category,A category for the content of a dwc:Media resource.,Recommended best practice is to use a controlled vocabulary.,,string,default,,,,,dwc,,,,recommended,true,true
agent-media,subjectCategoryIRI,,Subject Category IRI,An IRI of a controlled vocabulary value for the subject category of a dwc:Media resource.,Recommended best practice is to use a controlled vocabulary.,,string,default,,,,,dwciri,,,,recommended,true,true
